n  spectralGap
5    2.0
7    2.76155718183
11    2.48684508142
13    2.909704885
17    2.93817745051
19    2.81068213071
23    2.95863955744
29    2.90025680602
31    2.92865035005
37    2.97717349082
41    2.9441687536
43    2.98096428627
47    2.98285364859
53    2.98509948984
59    2.96661645285
61    2.96769641112
67    2.98861199729
71    2.97378817732
73    2.9896937812
79    2.97626626421
83    2.99106775521
89    2.9771650235
97    2.99251473832
101    2.98197241389
103    2.99296447943
107    2.9932522174
109    2.98229813206
113    2.99364852332
127    2.99443407357
131    2.98545820158
137    2.99484574996
139    2.98756024269
149    2.98877176737
None
