n  sepG  sepGc
5 [0.8944271819998318, 0.8944271819998318]
7 [1.0, 1.0]
11 [0.9665165421625831, 0.8944271819998318]
13 [0.9826137630910357, 0.8944271819998318]
17 [0.9574707365483158, 1.0]
19 [0.982824819589673, 0.8944271819998318]
23 [0.9700591251036751, 1.0]
29 [0.9443069549660014, 0.8944271819998318]
31 [0.9228508737587566, 1.0]
37 [0.9313858520859142, 0.8941855672905489]
41 [0.9722775580190429, 1.0]
43 [0.9699390194488778, 0.936047064820838]
47 [0.981162841494311, 1.0]
53 [0.9209272632428139, 0.8944271819998318]
59 [0.962097560826124, 0.8943705855824331]
61 [0.9665934932378155, 0.8944271819998318]
67 [0.9407038314710272, 0.9402391959112008]
71 [0.949450461135838, 1.0]
73 [0.9180618269625814, 1.0]
79 [0.9394659415278008, 1.0]
83 [0.9375441532618124, 0.8944271819998318]
89 [0.9609108204612121, 1.0]
97 [0.9461859804239402, 1.0000000333333343]
101 [0.9653430150254408, 0.8943024793910229]
103 [0.9759021300283865, 1.0]
107 [0.9209468258235215, 0.8944271819998318]
109 [0.9419852072949948, 0.8944271819998318]
113 [0.9389117006875688, 1.0]
127 [0.9418370200607155, 1.0]
131 [0.968284476899788, 0.8944272219998328]
137 [0.928984780349445, 1.0]
139 [0.9372861258117084, 0.8944272219998328]
149 [0.9592918924333489, 0.8944271819998318]
None
